[1012] (sup=11.050, per=403.000, score=0.453)
[175] (sup=6.380, per=449.000, score=0.447)
[1378] (sup=9.140, per=478.000, score=0.443)
[338] (sup=11.200, per=495.000, score=0.442)
[473] (sup=7.980, per=492.000, score=0.442)
[435] (sup=11.780, per=500.000, score=0.441)
[1347] (sup=9.210, per=498.000, score=0.441)
[304] (sup=14.030, per=503.000, score=0.441)
[1531] (sup=9.470, per=499.000, score=0.441)
[346] (sup=7.270, per=497.000, score=0.441)
[1161] (sup=9.340, per=504.000, score=0.440)
[795] (sup=10.450, per=506.000, score=0.440)
[1264] (sup=7.800, per=507.000, score=0.440)
[1282] (sup=8.800, per=509.000, score=0.440)
[526] (sup=7.500, per=512.000, score=0.439)
[1518] (sup=6.120, per=515.000, score=0.439)
[626] (sup=5.590, per=515.000, score=0.439)
[271] (sup=6.330, per=519.000, score=0.438)
[1508] (sup=10.900, per=528.000, score=0.438)
[922] (sup=6.830, per=526.000, score=0.437)
[153] (sup=8.410, per=528.000, score=0.437)
[1389] (sup=10.870, per=531.000, score=0.437)
[1407] (sup=9.400, per=530.000, score=0.437)
[1511] (sup=7.940, per=529.000, score=0.437)
[374] (sup=7.760, per=535.000, score=0.436)
[340] (sup=9.390, per=537.000, score=0.436)
[300] (sup=8.160, per=536.000, score=0.436)
[1340] (sup=7.250, per=540.000, score=0.436)
[104] (sup=7.490, per=541.000, score=0.436)
[1045] (sup=7.850, per=544.000, score=0.435)
[1384] (sup=7.610, per=548.000, score=0.435)
[245] (sup=9.260, per=550.000, score=0.435)
[549] (sup=6.240, per=547.000, score=0.435)
[326] (sup=8.530, per=550.000, score=0.435)
[1409] (sup=10.510, per=555.000, score=0.434)
[1146] (sup=9.590, per=555.000, score=0.434)
[189] (sup=7.030, per=555.000, score=0.434)
[391] (sup=9.880, per=558.000, score=0.434)
[1224] (sup=8.480, per=559.000, score=0.434)
[196] (sup=5.060, per=557.000, score=0.433)
[919] (sup=9.020, per=561.000, score=0.433)
[1473] (sup=6.880, per=559.000, score=0.433)
[532] (sup=6.630, per=567.000, score=0.432)
[379] (sup=7.960, per=569.000, score=0.432)
[497] (sup=7.100, per=570.000, score=0.432)
[1272] (sup=6.310, per=572.000, score=0.432)
[715] (sup=6.070, per=573.000, score=0.432)
[22] (sup=7.910, per=575.000, score=0.432)
[503] (sup=6.370, per=576.000, score=0.431)
[884] (sup=7.230, per=577.000, score=0.431)
[1220] (sup=7.840, per=580.000, score=0.431)
[1294] (sup=7.840, per=580.000, score=0.431)
[365] (sup=6.470, per=579.000, score=0.431)
[443] (sup=8.240, per=581.000, score=0.431)
[1530] (sup=9.650, per=587.000, score=0.430)
[1089] (sup=7.070, per=585.000, score=0.430)
[1521] (sup=11.320, per=590.000, score=0.430)
[558] (sup=9.060, per=588.000, score=0.430)
[88] (sup=8.120, per=589.000, score=0.430)
[854] (sup=6.670, per=588.000, score=0.430)
[1429] (sup=5.770, per=590.000, score=0.430)
[915] (sup=6.670, per=593.000, score=0.429)
[383] (sup=11.040, per=598.000, score=0.429)
[515] (sup=6.830, per=597.000, score=0.429)
[447] (sup=9.650, per=600.000, score=0.429)
[1306] (sup=7.580, per=600.000, score=0.429)
[408] (sup=9.380, per=605.000, score=0.428)
[30] (sup=8.930, per=605.000, score=0.428)
[1373] (sup=11.660, per=608.000, score=0.428)
[618] (sup=6.900, per=604.000, score=0.428)
[749] (sup=7.850, per=608.000, score=0.428)
[619] (sup=7.590, per=609.000, score=0.427)
[924] (sup=8.740, per=611.000, score=0.427)
[675] (sup=4.130, per=607.000, score=0.427)
[222] (sup=8.440, per=612.000, score=0.427)
[456] (sup=4.460, per=611.000, score=0.427)
[546] (sup=5.740, per=618.000, score=0.426)
[26] (sup=8.790, per=622.000, score=0.426)
[1444] (sup=9.200, per=624.000, score=0.426)
[434] (sup=11.120, per=626.000, score=0.426)
[79] (sup=7.080, per=623.000, score=0.426)
[585] (sup=8.820, per=625.000, score=0.426)
[158] (sup=5.680, per=623.000, score=0.426)
[217] (sup=8.520, per=626.000, score=0.426)
[1514] (sup=7.150, per=625.000, score=0.426)
[254] (sup=5.480, per=624.000, score=0.425)
[1497] (sup=8.590, per=632.000, score=0.425)
[1419] (sup=8.120, per=632.000, score=0.425)
[445] (sup=7.500, per=632.000, score=0.425)
[261] (sup=6.910, per=633.000, score=0.425)
[634] (sup=9.060, per=640.000, score=0.424)
[799] (sup=4.220, per=637.000, score=0.424)
[1315] (sup=8.070, per=641.000, score=0.424)
[324] (sup=7.700, per=643.000, score=0.423)
[1217] (sup=9.500, per=646.000, score=0.423)
[1200] (sup=6.360, per=644.000, score=0.423)
[1487] (sup=9.310, per=649.000, score=0.423)
[1157] (sup=5.210, per=646.000, score=0.423)
[1472] (sup=9.940, per=652.000, score=0.423)
[382] (sup=12.110, per=655.000, score=0.422)
[1439] (sup=7.730, per=651.000, score=0.422)
[727] (sup=7.530, per=651.000, score=0.422)
[249] (sup=7.070, per=651.000, score=0.422)
[1142] (sup=6.300, per=652.000, score=0.422)
[662] (sup=6.600, per=653.000, score=0.422)
[469] (sup=9.770, per=657.000, score=0.422)
[1398] (sup=8.560, per=656.000, score=0.422)
[790] (sup=5.590, per=654.000, score=0.422)
[604] (sup=8.150, per=657.000, score=0.422)
[742] (sup=5.370, per=655.000, score=0.422)
[80] (sup=6.300, per=656.000, score=0.422)
[350] (sup=4.750, per=655.000, score=0.422)
[1337] (sup=6.290, per=657.000, score=0.422)
[352] (sup=9.960, per=661.000, score=0.421)
[1054] (sup=3.940, per=655.000, score=0.421)
[1543] (sup=5.370, per=657.000, score=0.421)
[591] (sup=7.210, per=659.000, score=0.421)
[433] (sup=7.020, per=660.000, score=0.421)
[1145] (sup=6.990, per=661.000, score=0.421)
[468] (sup=7.850, per=662.000, score=0.421)
[1434] (sup=4.980, per=660.000, score=0.421)
[1480] (sup=6.860, per=662.000, score=0.421)
[907] (sup=8.070, per=665.000, score=0.421)
[836] (sup=6.050, per=663.000, score=0.421)
[1106] (sup=6.030, per=663.000, score=0.421)
[522] (sup=8.970, per=666.000, score=0.421)
[617] (sup=8.950, per=666.000, score=0.421)
[577] (sup=8.660, per=666.000, score=0.421)
[842] (sup=4.580, per=662.000, score=0.421)
[501] (sup=10.020, per=668.000, score=0.421)
[67] (sup=7.160, per=667.000, score=0.420)
[620] (sup=7.630, per=670.000, score=0.420)
[301] (sup=8.150, per=672.000, score=0.420)
[1348] (sup=11.240, per=676.000, score=0.420)
[832] (sup=5.180, per=670.000, score=0.420)
[1417] (sup=6.530, per=674.000, score=0.420)
[1254] (sup=7.790, per=676.000, score=0.419)
[105] (sup=6.620, per=675.000, score=0.419)
[1390] (sup=12.500, per=681.000, score=0.419)
[1245] (sup=6.420, per=675.000, score=0.419)
[999] (sup=8.330, per=677.000, score=0.419)
[1296] (sup=8.840, per=678.000, score=0.419)
[327] (sup=5.370, per=675.000, score=0.419)
[1001] (sup=8.110, per=678.000, score=0.419)
[414] (sup=7.880, per=679.000, score=0.419)
[24] (sup=8.460, per=681.000, score=0.419)
[370] (sup=6.430, per=679.000, score=0.419)
[54] (sup=8.130, per=681.000, score=0.419)
[329] (sup=8.760, per=682.000, score=0.419)
[380] (sup=5.780, per=680.000, score=0.419)
[333] (sup=6.950, per=682.000, score=0.419)
[629] (sup=5.470, per=681.000, score=0.419)
[182] (sup=6.300, per=682.000, score=0.419)
[1180] (sup=6.260, per=682.000, score=0.419)
[916] (sup=9.950, per=686.000, score=0.418)
[950] (sup=6.710, per=683.000, score=0.418)
[1096] (sup=5.660, per=682.000, score=0.418)
[293] (sup=5.120, per=683.000, score=0.418)
[378] (sup=10.340, per=689.000, score=0.418)
[164] (sup=5.170, per=684.000, score=0.418)
[471] (sup=8.580, per=688.000, score=0.418)
[767] (sup=7.830, per=689.000, score=0.418)
[695] (sup=6.740, per=688.000, score=0.418)
[988] (sup=8.240, per=690.000, score=0.418)
[234] (sup=9.240, per=692.000, score=0.418)
[163] (sup=6.380, per=690.000, score=0.418)
[214] (sup=5.190, per=689.000, score=0.418)
[599] (sup=8.880, per=693.000, score=0.417)
[1386] (sup=8.950, per=695.000, score=0.417)
[783] (sup=6.230, per=694.000, score=0.417)
[1194] (sup=6.940, per=695.000, score=0.417)
[308] (sup=8.380, per=697.000, score=0.417)
[1526] (sup=7.550, per=699.000, score=0.417)
[1133] (sup=6.450, per=698.000, score=0.417)
[1037] (sup=5.650, per=699.000, score=0.416)
[1442] (sup=9.400, per=703.000, score=0.416)
[1421] (sup=5.090, per=699.000, score=0.416)
[231] (sup=9.920, per=705.000, score=0.416)
[816] (sup=7.770, per=703.000, score=0.416)
[1345] (sup=5.240, per=701.000, score=0.416)
[545] (sup=8.080, per=704.000, score=0.416)
[130] (sup=8.210, per=705.000, score=0.416)
[963] (sup=6.610, per=704.000, score=0.416)
[145] (sup=4.920, per=704.000, score=0.416)
[1291] (sup=6.890, per=707.000, score=0.416)
[1319] (sup=5.650, per=706.000, score=0.416)
[1155] (sup=5.250, per=706.000, score=0.415)
[1354] (sup=6.420, per=708.000, score=0.415)
[223] (sup=6.970, per=709.000, score=0.415)
[839] (sup=6.850, per=710.000, score=0.415)
[1244] (sup=3.000, per=707.000, score=0.415)
[946] (sup=8.890, per=714.000, score=0.415)
[313] (sup=8.700, per=714.000, score=0.415)
[371] (sup=5.270, per=711.000, score=0.415)
[1259] (sup=6.200, per=712.000, score=0.415)
[609] (sup=8.090, per=715.000, score=0.415)
[1094] (sup=6.850, per=714.000, score=0.415)
[735] (sup=3.240, per=712.000, score=0.415)
[334] (sup=7.670, per=718.000, score=0.414)
[1343] (sup=8.460, per=719.000, score=0.414)
[339] (sup=7.080, per=718.000, score=0.414)
[685] (sup=8.440, per=721.000, score=0.414)
[27] (sup=8.230, per=721.000, score=0.414)
[918] (sup=7.670, per=721.000, score=0.414)
[576] (sup=7.480, per=721.000, score=0.414)
[1484] (sup=6.330, per=721.000, score=0.414)
[131] (sup=6.280, per=721.000, score=0.414)
[416] (sup=5.030, per=720.000, score=0.414)
[874] (sup=7.430, per=723.000, score=0.414)
[439] (sup=4.250, per=722.000, score=0.413)
[841] (sup=7.490, per=726.000, score=0.413)
[1153] (sup=9.230, per=728.000, score=0.413)
[1197] (sup=5.680, per=725.000, score=0.413)
[421] (sup=5.740, per=726.000, score=0.413)
[1138] (sup=5.480, per=726.000, score=0.413)
[281] (sup=8.780, per=730.000, score=0.413)
[1495] (sup=5.630, per=727.000, score=0.413)
[227] (sup=8.270, per=730.000, score=0.413)
[967] (sup=7.260, per=729.000, score=0.413)
[268] (sup=3.770, per=726.000, score=0.413)
[1175] (sup=5.670, per=728.000, score=0.413)
[141] (sup=3.070, per=728.000, score=0.413)
[1227] (sup=4.020, per=729.000, score=0.413)
[844] (sup=7.940, per=733.000, score=0.413)
[1318] (sup=6.850, per=733.000, score=0.412)
[528] (sup=8.730, per=735.000, score=0.412)
[903] (sup=9.340, per=736.000, score=0.412)
[95] (sup=5.210, per=732.000, score=0.412)
[355] (sup=8.910, per=736.000, score=0.412)
[610] (sup=9.710, per=737.000, score=0.412)
[1257] (sup=6.570, per=734.000, score=0.412)
[673] (sup=7.330, per=735.000, score=0.412)
[930] (sup=4.310, per=732.000, score=0.412)
[82] (sup=5.760, per=735.000, score=0.412)
[1250] (sup=8.510, per=739.000, score=0.412)
[1374] (sup=9.330, per=740.000, score=0.412)
[969] (sup=7.570, per=739.000, score=0.412)
[1026] (sup=7.390, per=739.000, score=0.412)
[474] (sup=7.040, per=739.000, score=0.412)
[941] (sup=9.680, per=742.000, score=0.412)
[855] (sup=4.550, per=738.000, score=0.412)
[430] (sup=9.170, per=743.000, score=0.411)
[845] (sup=3.450, per=738.000, score=0.411)
[953] (sup=4.350, per=739.000, score=0.411)
[913] (sup=6.760, per=743.000, score=0.411)
[1546] (sup=5.110, per=743.000, score=0.411)
[1189] (sup=6.970, per=745.000, score=0.411)
[316] (sup=6.650, per=745.000, score=0.411)
[274] (sup=7.640, per=746.000, score=0.411)
[426] (sup=8.410, per=747.000, score=0.411)
[270] (sup=6.350, per=745.000, score=0.411)
[1210] (sup=11.120, per=750.000, score=0.411)
[1517] (sup=5.890, per=745.000, score=0.411)
[1293] (sup=8.940, per=749.000, score=0.411)
[1150] (sup=7.360, per=748.000, score=0.411)
[1007] (sup=10.020, per=751.000, score=0.411)
[741] (sup=3.490, per=745.000, score=0.411)
[962] (sup=7.130, per=749.000, score=0.411)
[446] (sup=8.810, per=751.000, score=0.410)
[272] (sup=8.130, per=751.000, score=0.410)
[50] (sup=6.120, per=749.000, score=0.410)
[401] (sup=8.860, per=752.000, score=0.410)
[125] (sup=6.650, per=750.000, score=0.410)
[530] (sup=6.150, per=750.000, score=0.410)
[11] (sup=8.670, per=753.000, score=0.410)
[1268] (sup=9.430, per=754.000, score=0.410)
[1101] (sup=5.190, per=751.000, score=0.410)
[377] (sup=5.150, per=751.000, score=0.410)
[702] (sup=8.810, per=755.000, score=0.410)
[442] (sup=6.800, per=753.000, score=0.410)
[154] (sup=7.190, per=754.000, score=0.410)
[1470] (sup=8.500, per=756.000, score=0.410)
[1184] (sup=5.180, per=753.000, score=0.410)
[1120] (sup=6.730, per=755.000, score=0.410)
[1015] (sup=5.550, per=754.000, score=0.410)
[111] (sup=9.530, per=758.000, score=0.410)
[911] (sup=6.430, per=755.000, score=0.410)
