[40] (sup=25316.280, per=15.000, score=0.643)
[49] (sup=21021.670, per=19.000, score=0.619)
[39] (sup=7828.880, per=153.000, score=0.544)
[33] (sup=7631.930, per=85.000, score=0.543)
[66] (sup=2241.120, per=1033.000, score=0.507)
[238] (sup=1511.660, per=343.000, score=0.507)
[90] (sup=1946.210, per=794.000, score=0.507)
[37] (sup=1459.790, per=470.000, score=0.506)
[171] (sup=1544.810, per=572.000, score=0.506)
[102] (sup=1124.570, per=316.000, score=0.505)
[111] (sup=1375.670, per=675.000, score=0.504)
[226] (sup=1645.710, per=1148.000, score=0.503)
[148] (sup=891.910, per=446.000, score=0.503)
[271] (sup=868.140, per=498.000, score=0.502)
[534] (sup=734.690, per=515.000, score=0.501)
[124] (sup=649.850, per=602.000, score=0.500)
[272] (sup=1052.190, per=1032.000, score=0.500)
[741] (sup=596.600, per=590.000, score=0.500)
[10] (sup=670.890, per=671.000, score=0.500)
[476] (sup=1069.790, per=1074.000, score=0.500)
[80] (sup=804.330, per=816.000, score=0.500)
[2239] (sup=847.180, per=883.000, score=0.500)
[1394] (sup=581.890, per=663.000, score=0.500)
[593] (sup=609.420, per=715.000, score=0.499)
[180] (sup=495.170, per=608.000, score=0.499)
[162] (sup=508.630, per=688.000, score=0.499)
[523] (sup=480.360, per=684.000, score=0.499)
[38] (sup=532.340, per=748.000, score=0.499)
[243] (sup=459.960, per=696.000, score=0.499)
[20] (sup=497.920, per=734.000, score=0.499)
[480] (sup=459.300, per=700.000, score=0.499)
[250] (sup=571.680, per=843.000, score=0.498)
[24] (sup=376.810, per=666.000, score=0.498)
[259] (sup=486.020, per=793.000, score=0.498)
[287] (sup=588.110, per=907.000, score=0.498)
[605] (sup=602.170, per=947.000, score=0.498)
[335] (sup=385.480, per=735.000, score=0.498)
[550] (sup=415.270, per=782.000, score=0.498)
[311] (sup=1285.990, per=1659.000, score=0.498)
[302] (sup=596.960, per=1000.000, score=0.498)
[77] (sup=447.390, per=863.000, score=0.498)
[46] (sup=453.450, per=878.000, score=0.498)
[682] (sup=347.570, per=794.000, score=0.497)
[256] (sup=749.610, per=1197.000, score=0.497)
[230] (sup=409.850, per=866.000, score=0.497)
[265] (sup=445.670, per=913.000, score=0.497)
[252] (sup=320.950, per=821.000, score=0.497)
[590] (sup=580.860, per=1085.000, score=0.497)
[56] (sup=356.380, per=862.000, score=0.497)
[439] (sup=933.070, per=1461.000, score=0.497)
[261] (sup=329.640, per=868.000, score=0.497)
[397] (sup=345.080, per=923.000, score=0.497)
[813] (sup=409.410, per=991.000, score=0.497)
[1147] (sup=723.740, per=1326.000, score=0.497)
[536] (sup=363.150, per=991.000, score=0.496)
[549] (sup=558.720, per=1197.000, score=0.496)
[106] (sup=326.510, per=991.000, score=0.496)
[1784] (sup=310.950, per=990.000, score=0.496)
[12] (sup=357.270, per=1060.000, score=0.496)
[104] (sup=400.430, per=1120.000, score=0.496)
[31] (sup=284.150, per=1007.000, score=0.496)
[767] (sup=402.010, per=1127.000, score=0.496)
[1044] (sup=280.650, per=1009.000, score=0.496)
[186] (sup=693.900, per=1438.000, score=0.496)
[280] (sup=308.850, per=1055.000, score=0.496)
[1579] (sup=447.880, per=1201.000, score=0.496)
[390] (sup=420.830, per=1177.000, score=0.496)
[3] (sup=264.200, per=1023.000, score=0.496)
[57] (sup=272.730, per=1047.000, score=0.496)
[176] (sup=493.590, per=1270.000, score=0.496)
[1068] (sup=281.400, per=1060.000, score=0.496)
[2200] (sup=288.010, per=1088.000, score=0.495)
[32] (sup=450.930, per=1251.000, score=0.495)
[491] (sup=230.390, per=1032.000, score=0.495)
[704] (sup=406.950, per=1244.000, score=0.495)
[371] (sup=194.570, per=1037.000, score=0.495)
[421] (sup=287.980, per=1171.000, score=0.495)
[118] (sup=516.060, per=1412.000, score=0.495)
[773] (sup=377.890, per=1276.000, score=0.495)
[1063] (sup=224.620, per=1126.000, score=0.495)
[1601] (sup=397.770, per=1300.000, score=0.495)
[210] (sup=301.200, per=1208.000, score=0.495)
[79] (sup=524.060, per=1436.000, score=0.495)
[1586] (sup=216.410, per=1130.000, score=0.495)
[2119] (sup=260.540, per=1177.000, score=0.495)
[372] (sup=406.760, per=1333.000, score=0.495)
[346] (sup=244.360, per=1195.000, score=0.495)
[151] (sup=304.470, per=1264.000, score=0.495)
[156] (sup=274.460, per=1268.000, score=0.494)
[2438] (sup=280.650, per=1285.000, score=0.494)
[108] (sup=376.600, per=1390.000, score=0.494)
[977] (sup=393.350, per=1448.000, score=0.494)
[794] (sup=256.110, per=1312.000, score=0.494)
[2047] (sup=317.310, per=1395.000, score=0.494)
[2384] (sup=282.050, per=1364.000, score=0.494)
[2400] (sup=234.860, per=1324.000, score=0.494)
[1715] (sup=263.080, per=1357.000, score=0.494)
[786] (sup=182.520, per=1283.000, score=0.494)
[705] (sup=255.450, per=1357.000, score=0.494)
[48] (sup=221.280, per=1340.000, score=0.494)
[1053] (sup=207.280, per=1339.000, score=0.494)
[678] (sup=555.350, per=1695.000, score=0.494)
[465] (sup=356.080, per=1502.000, score=0.494)
[1530] (sup=145.460, per=1293.000, score=0.493)
[2016] (sup=182.750, per=1339.000, score=0.493)
[879] (sup=283.820, per=1441.000, score=0.493)
[2081] (sup=244.900, per=1408.000, score=0.493)
[572] (sup=262.430, per=1428.000, score=0.493)
[2330] (sup=244.780, per=1428.000, score=0.493)
[502] (sup=153.730, per=1367.000, score=0.493)
[3800] (sup=213.110, per=1429.000, score=0.493)
[398] (sup=155.210, per=1380.000, score=0.493)
[791] (sup=243.860, per=1476.000, score=0.493)
[426] (sup=310.390, per=1548.000, score=0.493)
[310] (sup=154.490, per=1393.000, score=0.493)
[63] (sup=278.750, per=1521.000, score=0.493)
[1197] (sup=159.340, per=1409.000, score=0.493)
[582] (sup=287.490, per=1539.000, score=0.493)
[53] (sup=234.510, per=1502.000, score=0.493)
[1083] (sup=192.580, per=1461.000, score=0.493)
[1104] (sup=202.140, per=1479.000, score=0.493)
[841] (sup=201.400, per=1509.000, score=0.493)
[857] (sup=239.370, per=1557.000, score=0.493)
[1405] (sup=216.510, per=1552.000, score=0.492)
[2525] (sup=142.240, per=1481.000, score=0.492)
[1558] (sup=208.720, per=1564.000, score=0.492)
[1490] (sup=154.210, per=1528.000, score=0.492)
[2469] (sup=175.410, per=1560.000, score=0.492)
[4337] (sup=302.610, per=1697.000, score=0.492)
[2553] (sup=181.170, per=1581.000, score=0.492)
[980] (sup=223.260, per=1626.000, score=0.492)
[790] (sup=313.020, per=1727.000, score=0.492)
[1832] (sup=121.950, per=1544.000, score=0.492)
[196] (sup=175.280, per=1600.000, score=0.492)
[425] (sup=170.930, per=1614.000, score=0.492)
[179] (sup=240.520, per=1691.000, score=0.492)
[1426] (sup=168.680, per=1621.000, score=0.492)
[1314] (sup=194.710, per=1649.000, score=0.492)
[2793] (sup=159.640, per=1616.000, score=0.492)
[544] (sup=146.470, per=1608.000, score=0.492)
[911] (sup=265.700, per=1730.000, score=0.492)
[298] (sup=255.400, per=1731.000, score=0.492)
[832] (sup=226.390, per=1702.000, score=0.492)
[831] (sup=209.070, per=1691.000, score=0.492)
[341] (sup=330.650, per=1814.000, score=0.492)
[962] (sup=272.280, per=1759.000, score=0.492)
[3617] (sup=326.870, per=1816.000, score=0.492)
[214] (sup=150.980, per=1647.000, score=0.492)
[979] (sup=180.430, per=1692.000, score=0.491)
[611] (sup=167.130, per=1680.000, score=0.491)
[1705] (sup=224.450, per=1738.000, score=0.491)
[1136] (sup=335.960, per=1850.000, score=0.491)
[2493] (sup=200.580, per=1729.000, score=0.491)
[1189] (sup=135.500, per=1665.000, score=0.491)
[1127] (sup=214.060, per=1756.000, score=0.491)
[347] (sup=167.080, per=1712.000, score=0.491)
[157] (sup=404.580, per=1950.000, score=0.491)
[2165] (sup=145.140, per=1696.000, score=0.491)
[2192] (sup=164.620, per=1729.000, score=0.491)
[2880] (sup=234.300, per=1799.000, score=0.491)
[2344] (sup=217.870, per=1789.000, score=0.491)
[1563] (sup=186.430, per=1763.000, score=0.491)
[1334] (sup=148.340, per=1725.000, score=0.491)
[1086] (sup=115.650, per=1698.000, score=0.491)
[375] (sup=302.430, per=1885.000, score=0.491)
[169] (sup=154.600, per=1766.000, score=0.491)
[1004] (sup=191.490, per=1803.000, score=0.491)
[419] (sup=243.790, per=1856.000, score=0.491)
[228] (sup=157.590, per=1770.000, score=0.491)
[282] (sup=213.990, per=1829.000, score=0.491)
[3006] (sup=103.300, per=1728.000, score=0.491)
[1362] (sup=201.100, per=1836.000, score=0.491)
[807] (sup=371.660, per=2014.000, score=0.491)
[957] (sup=454.950, per=2102.000, score=0.491)
[616] (sup=145.030, per=1794.000, score=0.491)
[728] (sup=187.680, per=1838.000, score=0.491)
[489] (sup=349.470, per=2011.000, score=0.491)
[2524] (sup=216.710, per=1880.000, score=0.491)
[1616] (sup=82.610, per=1757.000, score=0.491)
[1591] (sup=140.970, per=1816.000, score=0.491)
[2959] (sup=453.670, per=2142.000, score=0.490)
[2636] (sup=146.910, per=1837.000, score=0.490)
[50] (sup=548.680, per=2241.000, score=0.490)
[1716] (sup=289.710, per=2002.000, score=0.490)
[202] (sup=554.070, per=2267.000, score=0.490)
[1436] (sup=373.200, per=2094.000, score=0.490)
[1699] (sup=160.460, per=1883.000, score=0.490)
[3013] (sup=131.980, per=1855.000, score=0.490)
[345] (sup=131.970, per=1855.000, score=0.490)
[95] (sup=254.400, per=1984.000, score=0.490)
[612] (sup=137.340, per=1872.000, score=0.490)
[548] (sup=213.990, per=1950.000, score=0.490)
[1565] (sup=146.850, per=1884.000, score=0.490)
[663] (sup=146.820, per=1888.000, score=0.490)
[165] (sup=165.300, per=1907.000, score=0.490)
[167] (sup=141.950, per=1888.000, score=0.490)
[6] (sup=149.810, per=1897.000, score=0.490)
[1487] (sup=207.380, per=1955.000, score=0.490)
[4699] (sup=203.260, per=1951.000, score=0.490)
[597] (sup=100.830, per=1849.000, score=0.490)
[1589] (sup=89.080, per=1842.000, score=0.490)
[1361] (sup=170.440, per=1924.000, score=0.490)
[1620] (sup=176.700, per=1933.000, score=0.490)
[1544] (sup=210.530, per=1970.000, score=0.490)
[698] (sup=144.550, per=1906.000, score=0.490)
[16] (sup=173.370, per=1945.000, score=0.490)
[2465] (sup=152.300, per=1929.000, score=0.490)
[598] (sup=116.970, per=1896.000, score=0.490)
[257] (sup=118.170, per=1898.000, score=0.490)
[247] (sup=199.100, per=1983.000, score=0.490)
[1001] (sup=218.980, per=2007.000, score=0.490)
[719] (sup=141.860, per=1933.000, score=0.490)
[408] (sup=363.530, per=2159.000, score=0.490)
[714] (sup=107.510, per=1903.000, score=0.490)
[245] (sup=129.010, per=1929.000, score=0.490)
[1164] (sup=122.100, per=1927.000, score=0.490)
[4651] (sup=172.270, per=1981.000, score=0.490)
[3271] (sup=493.030, per=2303.000, score=0.490)
[695] (sup=205.940, per=2025.000, score=0.490)
[233] (sup=180.610, per=2002.000, score=0.490)
[577] (sup=119.490, per=1947.000, score=0.490)
[505] (sup=148.270, per=1979.000, score=0.490)
[134] (sup=124.130, per=1955.000, score=0.490)
[830] (sup=178.980, per=2010.000, score=0.490)
[3322] (sup=124.220, per=1957.000, score=0.490)
[4317] (sup=122.440, per=1956.000, score=0.490)
[494] (sup=107.720, per=1944.000, score=0.490)
[1445] (sup=176.200, per=2013.000, score=0.490)
[1064] (sup=100.050, per=1937.000, score=0.490)
[623] (sup=143.980, per=1985.000, score=0.490)
[3574] (sup=70.520, per=1926.000, score=0.489)
[1328] (sup=898.220, per=2766.000, score=0.489)
[1072] (sup=119.080, per=1989.000, score=0.489)
[2242] (sup=217.810, per=2098.000, score=0.489)
[1309] (sup=172.930, per=2068.000, score=0.489)
[592] (sup=208.980, per=2105.000, score=0.489)
[2213] (sup=133.150, per=2034.000, score=0.489)
[654] (sup=176.410, per=2078.000, score=0.489)
[391] (sup=187.110, per=2097.000, score=0.489)
[1258] (sup=189.810, per=2100.000, score=0.489)
[3809] (sup=109.520, per=2024.000, score=0.489)
[204] (sup=163.600, per=2079.000, score=0.489)
[1067] (sup=204.070, per=2124.000, score=0.489)
[4210] (sup=110.500, per=2040.000, score=0.489)
[1604] (sup=97.620, per=2029.000, score=0.489)
[2600] (sup=116.200, per=2049.000, score=0.489)
[2169] (sup=246.940, per=2180.000, score=0.489)
[843] (sup=209.830, per=2147.000, score=0.489)
[838] (sup=129.830, per=2072.000, score=0.489)
[205] (sup=159.620, per=2103.000, score=0.489)
[2118] (sup=100.970, per=2048.000, score=0.489)
[4549] (sup=93.930, per=2051.000, score=0.489)
[3636] (sup=128.100, per=2098.000, score=0.489)
[939] (sup=135.630, per=2107.000, score=0.489)
[2875] (sup=116.900, per=2093.000, score=0.489)
[559] (sup=105.080, per=2083.000, score=0.489)
[1002] (sup=146.010, per=2128.000, score=0.489)
[207] (sup=137.590, per=2120.000, score=0.489)
[3760] (sup=162.880, per=2146.000, score=0.489)
[850] (sup=118.170, per=2103.000, score=0.489)
[683] (sup=137.280, per=2129.000, score=0.489)
[339] (sup=637.410, per=2633.000, score=0.489)
[2371] (sup=136.330, per=2134.000, score=0.489)
[2354] (sup=199.690, per=2203.000, score=0.489)
[1210] (sup=155.680, per=2164.000, score=0.489)
[4946] (sup=134.850, per=2144.000, score=0.489)
[236] (sup=161.060, per=2178.000, score=0.489)
[4387] (sup=92.390, per=2121.000, score=0.489)
[1162] (sup=101.940, per=2134.000, score=0.488)
[1868] (sup=242.300, per=2276.000, score=0.488)
[1656] (sup=157.740, per=2192.000, score=0.488)
[1992] (sup=155.830, per=2192.000, score=0.488)
[4643] (sup=141.830, per=2190.000, score=0.488)
[399] (sup=246.650, per=2299.000, score=0.488)
[1356] (sup=251.660, per=2307.000, score=0.488)
[1097] (sup=138.980, per=2201.000, score=0.488)
[3904] (sup=87.770, per=2150.000, score=0.488)
[933] (sup=129.980, per=2194.000, score=0.488)
[492] (sup=122.600, per=2189.000, score=0.488)
[109] (sup=123.540, per=2192.000, score=0.488)
[400] (sup=118.670, per=2193.000, score=0.488)
[2520] (sup=92.040, per=2167.000, score=0.488)
[2477] (sup=92.030, per=2168.000, score=0.488)
[2003] (sup=102.280, per=2183.000, score=0.488)
[3362] (sup=201.240, per=2285.000, score=0.488)
[244] (sup=96.560, per=2183.000, score=0.488)
[1477] (sup=127.240, per=2222.000, score=0.488)
[994] (sup=160.160, per=2255.000, score=0.488)
[1161] (sup=121.210, per=2220.000, score=0.488)
[2351] (sup=123.930, per=2227.000, score=0.488)
[1742] (sup=136.070, per=2241.000, score=0.488)
[3538] (sup=103.680, per=2209.000, score=0.488)
[493] (sup=129.160, per=2239.000, score=0.488)
[1179] (sup=80.320, per=2192.000, score=0.488)
[3293] (sup=124.060, per=2239.000, score=0.488)
[2326] (sup=164.940, per=2286.000, score=0.488)
[545] (sup=420.640, per=2543.000, score=0.488)
[2764] (sup=131.470, per=2258.000, score=0.488)
