K = 300, alpha = 0.5, beta= 0.5, runtime = 3.0700744
[369] (sup=3928.850, per=113.000, score=0.519)
[530] (sup=3520.680, per=133.000, score=0.517)
[830] (sup=3394.940, per=146.000, score=0.516)
[767] (sup=3112.400, per=112.000, score=0.515)
[355] (sup=2910.180, per=140.000, score=0.514)
[723] (sup=2905.560, per=136.000, score=0.514)
[685] (sup=2701.480, per=184.000, score=0.513)
[218] (sup=2688.530, per=204.000, score=0.512)
[693] (sup=2532.930, per=143.000, score=0.512)
[420] (sup=2543.040, per=159.000, score=0.512)
[495] (sup=2567.270, per=186.000, score=0.512)
[121] (sup=2476.510, per=174.000, score=0.512)
[884] (sup=2468.720, per=197.000, score=0.511)
[178] (sup=2302.600, per=173.000, score=0.511)
[938] (sup=2326.230, per=201.000, score=0.511)
[146] (sup=2265.290, per=189.000, score=0.510)
[439] (sup=2281.790, per=232.000, score=0.510)
[461] (sup=2212.450, per=185.000, score=0.510)
[363] (sup=2212.750, per=224.000, score=0.510)
[33] (sup=2117.940, per=219.000, score=0.509)
[683] (sup=2054.970, per=182.000, score=0.509)
[40] (sup=2107.070, per=236.000, score=0.509)
[471] (sup=2104.660, per=243.000, score=0.509)
[790] (sup=2155.630, per=327.000, score=0.509)
[284] (sup=2052.530, per=229.000, score=0.509)
[915] (sup=2035.100, per=242.000, score=0.509)
[967] (sup=1956.370, per=190.000, score=0.509)
[721] (sup=1922.940, per=182.000, score=0.509)
[184] (sup=1945.720, per=206.000, score=0.509)
[539] (sup=1982.120, per=283.000, score=0.509)
[776] (sup=1868.200, per=228.000, score=0.508)
[542] (sup=1890.470, per=271.000, score=0.508)
[948] (sup=1837.360, per=219.000, score=0.508)
[863] (sup=1820.700, per=223.000, score=0.508)
[920] (sup=1853.030, per=288.000, score=0.508)
[889] (sup=1851.970, per=287.000, score=0.508)
[402] (sup=1835.470, per=277.000, score=0.508)
[957] (sup=1821.050, per=264.000, score=0.508)
[206] (sup=1783.060, per=231.000, score=0.508)
[72] (sup=1762.620, per=231.000, score=0.508)
[347] (sup=1723.150, per=223.000, score=0.508)
[490] (sup=1712.420, per=242.000, score=0.507)
[13] (sup=1698.400, per=237.000, score=0.507)
[896] (sup=1710.000, per=255.000, score=0.507)
[796] (sup=1688.990, per=302.000, score=0.507)
[511] (sup=1632.170, per=290.000, score=0.507)
[599] (sup=1609.240, per=299.000, score=0.507)
[76] (sup=1568.800, per=259.000, score=0.507)
[799] (sup=1557.600, per=254.000, score=0.507)
[615] (sup=1549.280, per=263.000, score=0.506)
[280] (sup=1508.410, per=228.000, score=0.506)
[886] (sup=1535.760, per=257.000, score=0.506)
[488] (sup=1570.430, per=294.000, score=0.506)
[510] (sup=1525.490, per=254.000, score=0.506)
[826] (sup=1539.970, per=271.000, score=0.506)
[351] (sup=1520.600, per=261.000, score=0.506)
[919] (sup=1514.360, per=275.000, score=0.506)
[887] (sup=1505.310, per=298.000, score=0.506)
[676] (sup=1490.380, per=284.000, score=0.506)
[9] (sup=1545.530, per=355.000, score=0.506)
[382] (sup=1493.210, per=303.000, score=0.506)
[527] (sup=1395.260, per=236.000, score=0.506)
[695] (sup=1420.660, per=263.000, score=0.506)
[582] (sup=1471.920, per=323.000, score=0.506)
[598] (sup=1440.570, per=301.000, score=0.506)
[794] (sup=1545.300, per=407.000, score=0.506)
[572] (sup=1457.230, per=320.000, score=0.506)
[73] (sup=1417.980, per=282.000, score=0.506)
[240] (sup=1387.270, per=256.000, score=0.506)
[945] (sup=1435.200, per=312.000, score=0.506)
[94] (sup=1375.640, per=256.000, score=0.506)
[570] (sup=1420.930, per=306.000, score=0.506)
[632] (sup=1392.410, per=280.000, score=0.506)
[523] (sup=1355.800, per=244.000, score=0.506)
[562] (sup=1393.250, per=283.000, score=0.506)
[999] (sup=1374.130, per=269.000, score=0.506)
[845] (sup=1401.870, per=302.000, score=0.506)
[176] (sup=1398.660, per=299.000, score=0.506)
[549] (sup=1441.350, per=342.000, score=0.506)
[391] (sup=1370.710, per=276.000, score=0.505)
[855] (sup=1421.870, per=334.000, score=0.505)
[113] (sup=1347.450, per=268.000, score=0.505)
[677] (sup=1347.830, per=275.000, score=0.505)
[141] (sup=1329.580, per=270.000, score=0.505)
[22] (sup=1325.000, per=277.000, score=0.505)
[783] (sup=1361.120, per=318.000, score=0.505)
[872] (sup=1384.020, per=341.000, score=0.505)
[133] (sup=1335.920, per=301.000, score=0.505)
[759] (sup=1414.420, per=381.000, score=0.505)
[58] (sup=1342.110, per=323.000, score=0.505)
[798] (sup=1298.260, per=285.000, score=0.505)
[961] (sup=1362.000, per=351.000, score=0.505)
[55] (sup=1297.510, per=291.000, score=0.505)
[675] (sup=1292.540, per=289.000, score=0.505)
[594] (sup=1283.910, per=281.000, score=0.505)
[654] (sup=1305.880, per=305.000, score=0.505)
[662] (sup=1332.880, per=334.000, score=0.505)
[275] (sup=1286.980, per=311.000, score=0.505)
[753] (sup=1303.190, per=341.000, score=0.505)
[414] (sup=1309.040, per=360.000, score=0.505)
[49] (sup=1223.930, per=295.000, score=0.505)
[779] (sup=1241.480, per=313.000, score=0.505)
[286] (sup=1302.470, per=376.000, score=0.505)
[478] (sup=1212.290, per=289.000, score=0.505)
[152] (sup=1289.140, per=368.000, score=0.505)
[472] (sup=1447.060, per=526.000, score=0.505)
[635] (sup=1248.410, per=336.000, score=0.505)
[618] (sup=1311.090, per=408.000, score=0.505)
[277] (sup=1237.850, per=343.000, score=0.504)
[237] (sup=1305.700, per=441.000, score=0.504)
[39] (sup=1198.470, per=341.000, score=0.504)
[922] (sup=1209.910, per=370.000, score=0.504)
[393] (sup=1183.660, per=349.000, score=0.504)
[789] (sup=1215.400, per=381.000, score=0.504)
[79] (sup=1228.020, per=394.000, score=0.504)
[70] (sup=1198.670, per=370.000, score=0.504)
[664] (sup=1183.550, per=363.000, score=0.504)
[162] (sup=1155.020, per=345.000, score=0.504)
[607] (sup=1343.520, per=543.000, score=0.504)
[875] (sup=1105.670, per=308.000, score=0.504)
[230] (sup=1136.810, per=349.000, score=0.504)
[205] (sup=1092.260, per=311.000, score=0.504)
[524] (sup=1123.710, per=347.000, score=0.504)
[781] (sup=1182.090, per=407.000, score=0.504)
[481] (sup=1146.530, per=375.000, score=0.504)
[639] (sup=1124.450, per=359.000, score=0.504)
[804] (sup=1105.940, per=343.000, score=0.504)
[74] (sup=1082.590, per=324.000, score=0.504)
[297] (sup=1116.470, per=358.000, score=0.504)
[117] (sup=1118.710, per=362.000, score=0.504)
[412] (sup=1027.640, per=279.000, score=0.504)
[810] (sup=1086.360, per=340.000, score=0.504)
[745] (sup=1089.840, per=345.000, score=0.504)
[388] (sup=1051.380, per=309.000, score=0.504)
[580] (sup=1089.940, per=363.000, score=0.504)
[281] (sup=1062.170, per=339.000, score=0.504)
[451] (sup=1049.520, per=329.000, score=0.504)
[473] (sup=1051.780, per=340.000, score=0.504)
[71] (sup=1197.820, per=488.000, score=0.504)
[7] (sup=1068.110, per=376.000, score=0.503)
[879] (sup=1016.800, per=340.000, score=0.503)
[243] (sup=1149.300, per=474.000, score=0.503)
[971] (sup=1055.110, per=385.000, score=0.503)
[350] (sup=1021.790, per=353.000, score=0.503)
[335] (sup=1070.000, per=411.000, score=0.503)
[833] (sup=1035.030, per=391.000, score=0.503)
[450] (sup=968.100, per=337.000, score=0.503)
[28] (sup=1071.700, per=447.000, score=0.503)
[894] (sup=976.830, per=353.000, score=0.503)
[827] (sup=1014.340, per=394.000, score=0.503)
