K = 25, alpha = 0.5, beta= 0.5, runtime = 21.0364294
[40] (sup=1607.850, per=4.000, score=0.751)
[58] (sup=1580.660, per=2.000, score=0.747)
[52] (sup=1575.090, per=2.000, score=0.746)
[29] (sup=1581.070, per=9.000, score=0.746)
[7] (sup=1541.860, per=7.000, score=0.740)
[56] (sup=1538.550, per=11.000, score=0.739)
[34] (sup=1532.740, per=8.000, score=0.739)
[36] (sup=1533.730, per=10.000, score=0.739)
[60] (sup=1550.840, per=43.000, score=0.736)
[48] (sup=1512.450, per=14.000, score=0.735)
[66] (sup=1534.550, per=43.000, score=0.734)
[62] (sup=1496.360, per=7.000, score=0.733)
[5] (sup=1458.400, per=17.000, score=0.726)
[9] (sup=1433.490, per=6.000, score=0.723)
[25] (sup=1452.450, per=43.000, score=0.721)
[3] (sup=1394.400, per=37.000, score=0.713)
[42] (sup=1325.850, per=21.000, score=0.704)
[46] (sup=1301.200, per=25.000, score=0.700)
[31] (sup=1256.210, per=28.000, score=0.692)
[64] (sup=1321.290, per=126.000, score=0.687)
[17] (sup=1253.310, per=84.000, score=0.683)
[72] (sup=1161.520, per=102.000, score=0.666)
[74] (sup=1200.860, per=145.000, score=0.665)
[11] (sup=1068.070, per=17.000, score=0.665)
[38] (sup=1101.930, per=59.000, score=0.663)
