[1012] (sup=11.050, per=403.000, score=0.093)
[304] (sup=14.030, per=503.000, score=0.091)
[175] (sup=6.380, per=449.000, score=0.091)
[435] (sup=11.780, per=500.000, score=0.091)
[338] (sup=11.200, per=495.000, score=0.091)
[1378] (sup=9.140, per=478.000, score=0.090)
[795] (sup=10.450, per=506.000, score=0.090)
[1531] (sup=9.470, per=499.000, score=0.090)
[1347] (sup=9.210, per=498.000, score=0.090)
[1161] (sup=9.340, per=504.000, score=0.090)
[473] (sup=7.980, per=492.000, score=0.090)
[1282] (sup=8.800, per=509.000, score=0.090)
[1508] (sup=10.900, per=528.000, score=0.090)
[346] (sup=7.270, per=497.000, score=0.090)
[1389] (sup=10.870, per=531.000, score=0.090)
[1264] (sup=7.800, per=507.000, score=0.089)
[526] (sup=7.500, per=512.000, score=0.089)
[1407] (sup=9.400, per=530.000, score=0.089)
[153] (sup=8.410, per=528.000, score=0.089)
[340] (sup=9.390, per=537.000, score=0.089)
[1511] (sup=7.940, per=529.000, score=0.089)
[1518] (sup=6.120, per=515.000, score=0.089)
[1409] (sup=10.510, per=555.000, score=0.089)
[271] (sup=6.330, per=519.000, score=0.089)
[300] (sup=8.160, per=536.000, score=0.089)
[922] (sup=6.830, per=526.000, score=0.089)
[626] (sup=5.590, per=515.000, score=0.089)
[374] (sup=7.760, per=535.000, score=0.089)
[245] (sup=9.260, per=550.000, score=0.089)
[1146] (sup=9.590, per=555.000, score=0.089)
[391] (sup=9.880, per=558.000, score=0.089)
[326] (sup=8.530, per=550.000, score=0.089)
[1045] (sup=7.850, per=544.000, score=0.089)
[104] (sup=7.490, per=541.000, score=0.089)
[1340] (sup=7.250, per=540.000, score=0.089)
[1384] (sup=7.610, per=548.000, score=0.088)
[919] (sup=9.020, per=561.000, score=0.088)
[1224] (sup=8.480, per=559.000, score=0.088)
[1521] (sup=11.320, per=590.000, score=0.088)
[549] (sup=6.240, per=547.000, score=0.088)
[189] (sup=7.030, per=555.000, score=0.088)
[1473] (sup=6.880, per=559.000, score=0.088)
[379] (sup=7.960, per=569.000, score=0.088)
[383] (sup=11.040, per=598.000, score=0.088)
[1530] (sup=9.650, per=587.000, score=0.088)
[1373] (sup=11.660, per=608.000, score=0.088)
[22] (sup=7.910, per=575.000, score=0.088)
[497] (sup=7.100, per=570.000, score=0.088)
[558] (sup=9.060, per=588.000, score=0.088)
[443] (sup=8.240, per=581.000, score=0.088)
[532] (sup=6.630, per=567.000, score=0.088)
[1220] (sup=7.840, per=580.000, score=0.088)
[1294] (sup=7.840, per=580.000, score=0.088)
[196] (sup=5.060, per=557.000, score=0.088)
[884] (sup=7.230, per=577.000, score=0.088)
[447] (sup=9.650, per=600.000, score=0.088)
[1272] (sup=6.310, per=572.000, score=0.088)
[88] (sup=8.120, per=589.000, score=0.088)
[715] (sup=6.070, per=573.000, score=0.088)
[503] (sup=6.370, per=576.000, score=0.087)
[408] (sup=9.380, per=605.000, score=0.087)
[365] (sup=6.470, per=579.000, score=0.087)
[1089] (sup=7.070, per=585.000, score=0.087)
[30] (sup=8.930, per=605.000, score=0.087)
[434] (sup=11.120, per=626.000, score=0.087)
[854] (sup=6.670, per=588.000, score=0.087)
[1306] (sup=7.580, per=600.000, score=0.087)
[924] (sup=8.740, per=611.000, score=0.087)
[915] (sup=6.670, per=593.000, score=0.087)
[515] (sup=6.830, per=597.000, score=0.087)
[222] (sup=8.440, per=612.000, score=0.087)
[749] (sup=7.850, per=608.000, score=0.087)
[1429] (sup=5.770, per=590.000, score=0.087)
[619] (sup=7.590, per=609.000, score=0.087)
[1444] (sup=9.200, per=624.000, score=0.087)
[618] (sup=6.900, per=604.000, score=0.087)
[26] (sup=8.790, per=622.000, score=0.087)
[585] (sup=8.820, per=625.000, score=0.087)
[382] (sup=12.110, per=655.000, score=0.087)
[217] (sup=8.520, per=626.000, score=0.087)
[1497] (sup=8.590, per=632.000, score=0.087)
[634] (sup=9.060, per=640.000, score=0.087)
[1419] (sup=8.120, per=632.000, score=0.087)
[79] (sup=7.080, per=623.000, score=0.087)
[1217] (sup=9.500, per=646.000, score=0.086)
[1514] (sup=7.150, per=625.000, score=0.086)
[1472] (sup=9.940, per=652.000, score=0.086)
[445] (sup=7.500, per=632.000, score=0.086)
[1487] (sup=9.310, per=649.000, score=0.086)
[546] (sup=5.740, per=618.000, score=0.086)
[1315] (sup=8.070, per=641.000, score=0.086)
[1390] (sup=12.500, per=681.000, score=0.086)
[469] (sup=9.770, per=657.000, score=0.086)
[675] (sup=4.130, per=607.000, score=0.086)
[261] (sup=6.910, per=633.000, score=0.086)
[456] (sup=4.460, per=611.000, score=0.086)
[352] (sup=9.960, per=661.000, score=0.086)
[158] (sup=5.680, per=623.000, score=0.086)
[324] (sup=7.700, per=643.000, score=0.086)
[254] (sup=5.480, per=624.000, score=0.086)
[1348] (sup=11.240, per=676.000, score=0.086)
[501] (sup=10.020, per=668.000, score=0.086)
[1398] (sup=8.560, per=656.000, score=0.086)
[1439] (sup=7.730, per=651.000, score=0.086)
[727] (sup=7.530, per=651.000, score=0.086)
[604] (sup=8.150, per=657.000, score=0.086)
[522] (sup=8.970, per=666.000, score=0.086)
[617] (sup=8.950, per=666.000, score=0.086)
[1200] (sup=6.360, per=644.000, score=0.086)
[249] (sup=7.070, per=651.000, score=0.086)
[577] (sup=8.660, per=666.000, score=0.086)
[468] (sup=7.850, per=662.000, score=0.086)
[907] (sup=8.070, per=665.000, score=0.086)
[662] (sup=6.600, per=653.000, score=0.086)
[591] (sup=7.210, per=659.000, score=0.086)
[1142] (sup=6.300, per=652.000, score=0.086)
[378] (sup=10.340, per=689.000, score=0.086)
[916] (sup=9.950, per=686.000, score=0.086)
[433] (sup=7.020, per=660.000, score=0.086)
[1145] (sup=6.990, per=661.000, score=0.086)
[1296] (sup=8.840, per=678.000, score=0.086)
[301] (sup=8.150, per=672.000, score=0.086)
[799] (sup=4.220, per=637.000, score=0.086)
[1157] (sup=5.210, per=646.000, score=0.086)
[80] (sup=6.300, per=656.000, score=0.086)
[1480] (sup=6.860, per=662.000, score=0.086)
[1337] (sup=6.290, per=657.000, score=0.086)
[620] (sup=7.630, per=670.000, score=0.085)
[999] (sup=8.330, per=677.000, score=0.085)
[67] (sup=7.160, per=667.000, score=0.085)
[329] (sup=8.760, per=682.000, score=0.085)
[790] (sup=5.590, per=654.000, score=0.085)
[24] (sup=8.460, per=681.000, score=0.085)
[1001] (sup=8.110, per=678.000, score=0.085)
[1254] (sup=7.790, per=676.000, score=0.085)
[742] (sup=5.370, per=655.000, score=0.085)
[54] (sup=8.130, per=681.000, score=0.085)
[414] (sup=7.880, per=679.000, score=0.085)
[836] (sup=6.050, per=663.000, score=0.085)
[1543] (sup=5.370, per=657.000, score=0.085)
[1106] (sup=6.030, per=663.000, score=0.085)
[234] (sup=9.240, per=692.000, score=0.085)
[471] (sup=8.580, per=688.000, score=0.085)
[350] (sup=4.750, per=655.000, score=0.085)
[599] (sup=8.880, per=693.000, score=0.085)
[1386] (sup=8.950, per=695.000, score=0.085)
[1434] (sup=4.980, per=660.000, score=0.085)
[1417] (sup=6.530, per=674.000, score=0.085)
[105] (sup=6.620, per=675.000, score=0.085)
[231] (sup=9.920, per=705.000, score=0.085)
[988] (sup=8.240, per=690.000, score=0.085)
[1245] (sup=6.420, per=675.000, score=0.085)
[1442] (sup=9.400, per=703.000, score=0.085)
[767] (sup=7.830, per=689.000, score=0.085)
[333] (sup=6.950, per=682.000, score=0.085)
[1054] (sup=3.940, per=655.000, score=0.085)
[842] (sup=4.580, per=662.000, score=0.085)
[370] (sup=6.430, per=679.000, score=0.085)
[308] (sup=8.380, per=697.000, score=0.085)
[950] (sup=6.710, per=683.000, score=0.085)
[832] (sup=5.180, per=670.000, score=0.085)
[182] (sup=6.300, per=682.000, score=0.085)
[1180] (sup=6.260, per=682.000, score=0.085)
[327] (sup=5.370, per=675.000, score=0.085)
[695] (sup=6.740, per=688.000, score=0.085)
[380] (sup=5.780, per=680.000, score=0.085)
[1526] (sup=7.550, per=699.000, score=0.085)
[1096] (sup=5.660, per=682.000, score=0.085)
[130] (sup=8.210, per=705.000, score=0.085)
[545] (sup=8.080, per=704.000, score=0.085)
[629] (sup=5.470, per=681.000, score=0.085)
[1194] (sup=6.940, per=695.000, score=0.085)
[163] (sup=6.380, per=690.000, score=0.085)
[816] (sup=7.770, per=703.000, score=0.085)
[946] (sup=8.890, per=714.000, score=0.085)
[313] (sup=8.700, per=714.000, score=0.085)
[293] (sup=5.120, per=683.000, score=0.085)
[164] (sup=5.170, per=684.000, score=0.085)
[783] (sup=6.230, per=694.000, score=0.085)
[1133] (sup=6.450, per=698.000, score=0.085)
[609] (sup=8.090, per=715.000, score=0.085)
[214] (sup=5.190, per=689.000, score=0.085)
[1343] (sup=8.460, per=719.000, score=0.084)
[963] (sup=6.610, per=704.000, score=0.084)
[1153] (sup=9.230, per=728.000, score=0.084)
[1291] (sup=6.890, per=707.000, score=0.084)
[685] (sup=8.440, per=721.000, score=0.084)
[223] (sup=6.970, per=709.000, score=0.084)
[27] (sup=8.230, per=721.000, score=0.084)
[1037] (sup=5.650, per=699.000, score=0.084)
[839] (sup=6.850, per=710.000, score=0.084)
[334] (sup=7.670, per=718.000, score=0.084)
[610] (sup=9.710, per=737.000, score=0.084)
[1210] (sup=11.120, per=750.000, score=0.084)
[1354] (sup=6.420, per=708.000, score=0.084)
[281] (sup=8.780, per=730.000, score=0.084)
[903] (sup=9.340, per=736.000, score=0.084)
[918] (sup=7.670, per=721.000, score=0.084)
[1094] (sup=6.850, per=714.000, score=0.084)
[1421] (sup=5.090, per=699.000, score=0.084)
[576] (sup=7.480, per=721.000, score=0.084)
[1345] (sup=5.240, per=701.000, score=0.084)
[339] (sup=7.080, per=718.000, score=0.084)
[941] (sup=9.680, per=742.000, score=0.084)
[1319] (sup=5.650, per=706.000, score=0.084)
[227] (sup=8.270, per=730.000, score=0.084)
[355] (sup=8.910, per=736.000, score=0.084)
[1374] (sup=9.330, per=740.000, score=0.084)
[874] (sup=7.430, per=723.000, score=0.084)
[1259] (sup=6.200, per=712.000, score=0.084)
[528] (sup=8.730, per=735.000, score=0.084)
[841] (sup=7.490, per=726.000, score=0.084)
[1155] (sup=5.250, per=706.000, score=0.084)
[145] (sup=4.920, per=704.000, score=0.084)
[430] (sup=9.170, per=743.000, score=0.084)
[1007] (sup=10.020, per=751.000, score=0.084)
[844] (sup=7.940, per=733.000, score=0.084)
[1250] (sup=8.510, per=739.000, score=0.084)
[371] (sup=5.270, per=711.000, score=0.084)
[967] (sup=7.260, per=729.000, score=0.084)
[1484] (sup=6.330, per=721.000, score=0.084)
[131] (sup=6.280, per=721.000, score=0.084)
[1293] (sup=8.940, per=749.000, score=0.084)
[673] (sup=7.330, per=735.000, score=0.084)
[1268] (sup=9.430, per=754.000, score=0.084)
[969] (sup=7.570, per=739.000, score=0.084)
[426] (sup=8.410, per=747.000, score=0.084)
[1318] (sup=6.850, per=733.000, score=0.084)
[446] (sup=8.810, per=751.000, score=0.084)
[111] (sup=9.530, per=758.000, score=0.084)
[401] (sup=8.860, per=752.000, score=0.084)
[1026] (sup=7.390, per=739.000, score=0.084)
[1197] (sup=5.680, per=725.000, score=0.084)
[421] (sup=5.740, per=726.000, score=0.084)
[416] (sup=5.030, per=720.000, score=0.084)
[1257] (sup=6.570, per=734.000, score=0.084)
[11] (sup=8.670, per=753.000, score=0.084)
[474] (sup=7.040, per=739.000, score=0.084)
[702] (sup=8.810, per=755.000, score=0.084)
[1362] (sup=9.990, per=766.000, score=0.084)
[1495] (sup=5.630, per=727.000, score=0.084)
[1138] (sup=5.480, per=726.000, score=0.084)
[1175] (sup=5.670, per=728.000, score=0.084)
[274] (sup=7.640, per=746.000, score=0.084)
[272] (sup=8.130, per=751.000, score=0.084)
[1470] (sup=8.500, per=756.000, score=0.084)
[1244] (sup=3.000, per=707.000, score=0.084)
[307] (sup=9.030, per=762.000, score=0.084)
[1150] (sup=7.360, per=748.000, score=0.084)
[913] (sup=6.760, per=743.000, score=0.084)
[1189] (sup=6.970, per=745.000, score=0.084)
[735] (sup=3.240, per=712.000, score=0.084)
[82] (sup=5.760, per=735.000, score=0.084)
