[4439] (sup=24402.450, per=3.000, score=0.648)
[171] (sup=24231.530, per=6.000, score=0.646)
[181] (sup=24209.210, per=11.000, score=0.645)
[7063] (sup=24167.990, per=4.000, score=0.645)
[185] (sup=24136.800, per=11.000, score=0.644)
[4429] (sup=24130.700, per=4.000, score=0.644)
[4435] (sup=23980.270, per=4.000, score=0.642)
[4941] (sup=23937.720, per=6.000, score=0.642)
[4427] (sup=23869.440, per=45.000, score=0.640)
[4433] (sup=23845.910, per=3.000, score=0.640)
[7093] (sup=23744.040, per=6.000, score=0.639)
[4437] (sup=23575.860, per=4.000, score=0.636)
[189] (sup=23565.920, per=28.000, score=0.636)
[4431] (sup=23372.550, per=4.000, score=0.634)
[7113] (sup=23235.890, per=5.000, score=0.632)
[7103] (sup=22596.980, per=7.000, score=0.622)
[266] (sup=22563.970, per=12.000, score=0.622)
[3405] (sup=22497.470, per=13.000, score=0.621)
[261] (sup=22488.210, per=12.000, score=0.621)
[4405] (sup=22450.330, per=13.000, score=0.620)
[18] (sup=21727.300, per=28.000, score=0.610)
[7083] (sup=21241.020, per=16.000, score=0.603)
[4441] (sup=20913.840, per=45.000, score=0.598)
[4415] (sup=20887.640, per=45.000, score=0.598)
[3404] (sup=20671.940, per=23.000, score=0.595)
[7073] (sup=19477.900, per=10.000, score=0.578)
[162] (sup=18514.570, per=9.000, score=0.564)
[198] (sup=18445.500, per=95.000, score=0.563)
[4503] (sup=18285.510, per=10.000, score=0.561)
[4500] (sup=18194.650, per=10.000, score=0.560)
[85] (sup=18156.450, per=9.000, score=0.559)
[169] (sup=18113.650, per=9.000, score=0.558)
[4934] (sup=17833.890, per=14.000, score=0.554)
[4938] (sup=17809.190, per=14.000, score=0.554)
[278] (sup=17085.300, per=53.000, score=0.544)
[4497] (sup=17052.220, per=10.000, score=0.543)
[4494] (sup=16095.140, per=12.000, score=0.530)
[4799] (sup=14872.370, per=15.000, score=0.512)
[4504] (sup=14831.820, per=10.000, score=0.512)
[4414] (sup=14691.820, per=89.000, score=0.509)
[2298] (sup=14577.670, per=24.000, score=0.508)
[7058] (sup=14346.230, per=15.000, score=0.505)
[4834] (sup=13704.050, per=23.000, score=0.495)
[4808] (sup=13653.490, per=23.000, score=0.495)
[6868] (sup=13372.400, per=21.000, score=0.491)
[4728] (sup=13249.970, per=28.000, score=0.489)
[4528] (sup=13233.190, per=29.000, score=0.489)
[4786] (sup=13227.140, per=29.000, score=0.489)
[4628] (sup=13194.270, per=28.000, score=0.488)
[2302] (sup=12728.510, per=40.000, score=0.481)
[2402] (sup=12698.640, per=40.000, score=0.481)
[16] (sup=12385.240, per=52.000, score=0.476)
[4947] (sup=12276.580, per=21.000, score=0.475)
[253] (sup=12159.300, per=53.000, score=0.473)
[164] (sup=12121.990, per=11.000, score=0.473)
[15] (sup=12104.910, per=11.000, score=0.473)
[112] (sup=12116.050, per=53.000, score=0.473)
[7043] (sup=12105.290, per=88.000, score=0.472)
[2301] (sup=11821.700, per=48.000, score=0.468)
[7023] (sup=11241.370, per=88.000, score=0.460)
[6923] (sup=11191.780, per=88.000, score=0.459)
[67] (sup=11154.390, per=49.000, score=0.459)
[6870] (sup=11086.020, per=88.000, score=0.458)
[4681] (sup=10982.730, per=30.000, score=0.457)
[4519] (sup=11003.200, per=90.000, score=0.456)
[4781] (sup=10974.680, per=30.000, score=0.456)
[4526] (sup=10833.210, per=21.000, score=0.454)
[156] (sup=10840.090, per=89.000, score=0.454)
[7037] (sup=10776.520, per=29.000, score=0.454)
[2300] (sup=10698.750, per=107.000, score=0.452)
[71] (sup=9994.000, per=26.000, score=0.442)
[4787] (sup=9773.280, per=42.000, score=0.439)
[5947] (sup=9735.370, per=89.000, score=0.438)
[6857] (sup=9694.720, per=89.000, score=0.438)
[4954] (sup=9691.280, per=89.000, score=0.438)
[6858] (sup=9644.040, per=110.000, score=0.437)
[1] (sup=9405.250, per=90.000, score=0.434)
[168] (sup=9303.970, per=52.000, score=0.432)
[7027] (sup=8776.700, per=42.000, score=0.425)
[7053] (sup=8599.490, per=52.000, score=0.422)
[4800] (sup=8407.280, per=45.000, score=0.420)
[2355] (sup=8381.220, per=58.000, score=0.419)
[7047] (sup=8359.920, per=42.000, score=0.419)
[4527] (sup=7752.820, per=31.000, score=0.410)
[7033] (sup=7594.670, per=88.000, score=0.408)
[6922] (sup=7033.430, per=42.000, score=0.400)
[76] (sup=7109.980, per=395.000, score=0.399)
[3] (sup=6909.580, per=102.000, score=0.398)
[4524] (sup=6417.150, per=89.000, score=0.391)
[170] (sup=6410.240, per=102.000, score=0.391)
[6963] (sup=6371.220, per=42.000, score=0.391)
[4937] (sup=6246.270, per=89.000, score=0.389)
[4940] (sup=6148.840, per=89.000, score=0.387)
[163] (sup=6050.500, per=102.000, score=0.386)
[4492] (sup=5917.720, per=102.000, score=0.384)
[6867] (sup=5914.170, per=102.000, score=0.384)
[4410] (sup=5909.640, per=102.000, score=0.384)
[4946] (sup=5909.350, per=102.000, score=0.384)
[4518] (sup=5903.780, per=102.000, score=0.384)
[4495] (sup=5896.990, per=102.000, score=0.384)
[4525] (sup=5863.780, per=89.000, score=0.383)
[155] (sup=5597.970, per=102.000, score=0.379)
[279] (sup=5578.510, per=70.000, score=0.379)
[199] (sup=5594.680, per=143.000, score=0.379)
[4498] (sup=5551.200, per=102.000, score=0.379)
[4501] (sup=5546.660, per=102.000, score=0.379)
[331] (sup=5370.150, per=80.000, score=0.376)
[2] (sup=5335.600, per=90.000, score=0.376)
[7036] (sup=5293.290, per=57.000, score=0.375)
[6869] (sup=5226.350, per=89.000, score=0.374)
[291] (sup=5205.500, per=60.000, score=0.374)
[4568] (sup=4878.670, per=73.000, score=0.369)
